0.1	# <s1>
0.1	# <s2>
0.1	# <s3>
0.1	# <s4>
-0.01	# Corr(1,2) = (<s1 s2> - <s1> <s2>)/sqrt( (<s1^2>-<s1>^2)(<s2^2>-<s2>^2) )
9.	# Corr(1,3) = (<s1 s3> - <s1> <s3>)/sqrt( (<s1^2>-<s1>^2)(<s3^2>-<s3>^2) )
7.	# Corr(1,4) = (<s1 s4> - <s1> <s4>)/sqrt( (<s1^2>-<s1>^2)(<s4^2>-<s4>^2) )
0.05	# Corr(2,3) = (<s2 s3> - <s2> <s3>)/sqrt( (<s2^2>-<s2>^2)(<s3^2>-<s3>^2) )
-0.02	# Corr(2,4) = (<s2 s4> - <s2> <s4>)/sqrt( (<s2^2>-<s2>^2)(<s4^2>-<s4>^2) )
0.5	# Corr(3,4) = (<s3 s4> - <s3> <s4>)/sqrt( (<s3^2>-<s3>^2)(<s4^2>-<s4>^2) )
